sin_desfragmentar_bloqueos,dt_fijo_bloqueos,ia_bloqueos,me_bloqueos,dt_fijo_reruteos,ia_reruteos,me_reruteos
104.0,97.0,103.0,82.0,854.0,1828.0,1333.0
104.0,91.0,93.0,109.0,748.0,919.0,887.0
104.0,101.0,90.0,107.0,378.0,897.0,391.0
126.0,111.0,103.0,111.0,829.0,1556.0,1270.0
126.0,113.0,105.0,117.0,733.0,1244.0,1021.0
126.0,113.0,112.0,125.0,465.0,565.0,383.0
79.0,75.0,76.0,58.0,997.0,1152.0,1734.0
79.0,84.0,75.0,78.0,797.0,1109.0,931.0
79.0,94.0,68.0,72.0,391.0,1297.0,599.0
76.0,69.0,53.0,46.0,1053.0,998.0,2221.0
76.0,64.0,67.0,56.0,762.0,379.0,1278.0
76.0,63.0,59.0,72.0,495.0,418.0,386.0
98.0,78.0,65.0,61.0,993.0,1930.0,1795.0
98.0,89.0,70.0,64.0,790.0,1359.0,1149.0
98.0,86.0,85.0,80.0,500.0,961.0,597.0
